,d_spell,f_spell,champion,side,role,assists,damage_objectives,damage_building,damage_turrets,deaths,gold_earned,kda,kills,level,time_cc,damage_total,damage_taken,total_minions_killed,turret_kills,vision_score,result
3282,4,1,Draven,Side.blue,Lane.bot_lane,2,2862,7698,2862,7,8797,0.7142857142857143,3,11,7,92539,14461,150,1,22,False
3283,12,4,Orianna,Side.red,Lane.mid_lane,11,2548,3875,2548,6,13701,2.8333333333333335,6,16,29,165569,19027,208,0,27,False
3284,4,12,Jayce,Side.blue,Lane.top_lane,13,1953,5936,1953,7,9631,2.142857142857143,2,14,8,99599,14943,164,0,22,True
3285,4,11,Viego,Side.red,Lane.jungle,12,0,22146,0,4,11313,3.5,2,16,15,167780,29236,35,0,45,False
3286,11,4,Kayn,Side.red,Lane.jungle,1,0,783,0,6,6581,0.8333333333333334,4,10,4,81998,17670,15,0,15,False
3287,14,12,Akali,Side.blue,Lane.top_lane,10,5888,8302,5888,7,12087,2.2857142857142856,6,16,2,124111,32369,171,4,9,False
3288,1,4,Samira,Side.blue,Lane.bot_lane,9,2115,6635,2115,15,15733,1.2,9,18,0,191278,39283,226,0,36,False
3289,4,14,Nami,Side.red,Lane.utility,15,637,1518,637,5,7851,3.2,1,14,20,13257,17903,16,0,98,False
3290,14,4,Thresh,Side.blue,Lane.utility,19,1295,2022,1295,4,6847,5.0,1,12,19,19395,10318,37,1,45,True
3291,14,4,Rakan,Side.blue,Lane.utility,21,674,1290,674,4,8843,5.5,1,13,27,30010,22889,52,1,81,False
3292,4,1,Draven,Side.red,Lane.bot_lane,8,8432,13968,8432,2,16607,10.0,12,15,4,177799,10174,197,5,33,True
3293,4,11,Ekko,Side.red,Lane.jungle,0,0,1944,0,6,6772,0.5,3,11,14,85962,19881,40,0,24,False
3294,3,4,Rell,Side.red,Lane.utility,17,0,1131,0,2,7328,8.5,0,13,27,18007,12620,28,0,68,True
3295,3,4,Rakan,Side.blue,Lane.utility,7,0,330,0,2,4555,4.0,1,8,11,13498,5313,23,0,27,True
3296,14,4,TwistedFate,Side.blue,Lane.mid_lane,16,8764,12613,8764,5,13239,4.4,6,16,37,133677,23119,163,5,25,True
