,d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,gold_earned,kda,kills,level,time_cc,damage_total,damage_taken,total_minions_killed,turret_kills,vision_score,result
215,4,12,TwistedFate,Side.red,11,1138,2721,1138,10,11462,1.5,4,15,35,122355,26207,174,1,17,True
216,4,3,Bard,Side.red,10,139,396,139,6,6527,2.1666666666666665,3,10,18,11020,10448,14,0,45,False
217,12,4,Fiora,Side.red,3,11628,12823,11628,3,11953,1.6666666666666667,2,15,8,124111,22088,213,4,22,False
218,4,11,Khazix,Side.red,5,758,23821,758,9,13237,1.5555555555555556,9,16,13,215541,35255,58,1,45,False
219,12,4,Ryze,Side.red,1,1078,2656,1078,9,12799,0.6666666666666666,5,15,33,151517,24194,201,0,39,False
220,12,14,Camille,Side.red,4,0,0,0,8,8086,0.75,2,14,18,81931,23087,159,0,19,False
221,6,4,Tryndamere,Side.blue,8,3283,3480,3283,3,10292,4.0,4,14,6,101323,16005,147,1,12,True
222,3,4,Lucian,Side.blue,13,8053,29178,8053,6,20869,4.166666666666667,12,18,5,347448,29315,318,3,40,True
223,14,4,Zilean,Side.blue,10,1088,1088,1088,4,7049,3.25,3,11,25,29755,11891,24,0,54,False
224,4,14,Nami,Side.red,6,0,0,0,5,5498,1.4,1,10,18,7080,9178,13,0,60,False
225,3,4,Jhin,Side.blue,9,1023,4252,1023,8,8154,1.5,3,13,17,65959,13184,104,0,13,True
226,4,11,Diana,Side.red,5,262,5942,262,1,7186,8.0,3,12,3,101017,12826,13,0,14,True
227,4,12,Sett,Side.blue,5,6060,9586,6060,0,8599,7.0,2,12,18,78323,9259,141,2,18,True
228,14,4,Alistar,Side.red,5,0,0,0,4,7632,2.0,3,12,39,25088,22032,35,0,58,False
229,4,11,Lillia,Side.blue,4,145,26334,145,1,7890,10.0,6,12,5,122219,19770,22,0,10,True
230,14,4,Teemo,Side.blue,2,2558,2558,2558,2,7111,3.0,4,12,20,60867,7578,121,1,15,True
231,14,12,Camille,Side.blue,3,5445,5445,5445,12,8462,0.4166666666666667,2,14,18,67334,31756,103,2,18,False
232,7,4,Tristana,Side.red,1,2732,5391,2732,6,6387,0.16666666666666666,0,10,2,66084,16969,148,0,11,False
233,12,4,Kled,Side.blue,4,6913,9378,6913,1,9822,12.0,8,14,4,66006,17086,117,4,14,True
